iddepto,nomdepto,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,fechageneración,fuente
76,76 - Valle del Cauca,11.69,13.6,14.46,13.04,13.26,14.58,13.72,13.49,14.6,16.61,16.82,18.14,17.75,20.7,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
81,81 - Arauca,6.98,1.72,9.34,4.19,9.92,6.52,10.47,7.15,8.64,8.53,9.2,7.58,6.74,8.9,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
85,85 - Casanare,6.92,2.71,3.32,4.55,3.19,7.51,3.68,9.63,5.32,5.22,5.12,8.95,8.79,7.02,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
86,86 - Putumayo,1.32,2.61,1.94,1.92,2.52,2.5,2.47,4.87,3.61,5.35,7.62,6.37,4.57,6.75,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",16.9,13.98,19.44,5.51,5.47,13.57,16.15,5.34,10.59,5.25,5.21,15.49,12.8,7.61,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
91,91 - Amazonas,0,0,2.94,0,2.86,0,2.78,0,2.71,5.35,7.94,0,2.58,2.55,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
94,94 - Guainía,0,0,0,0,0,5.43,5.33,0,0,0,0,0,0,4.74,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
95,95 - Guaviare,2.23,0,2.15,4.22,2.08,2.04,6.02,1.97,1.94,5.74,3.77,5.57,5.48,3.6,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
97,97 - Vaupés,0,0,5.1,0,0,0,4.85,0,0,0,0,0,0,0,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
99,99 - Vichada,3.68,0,10.45,3.39,6.59,6.42,3.12,0,0,0,0,5.5,5.36,0,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
